loan_status,loan_status_numeric,loan_amnt,issue_d,term,int_rate,installment,total_pymnt,total_rec_prncp,total_rec_int,total_rec_late_fee,title,purpose,emp_title,emp_length,home_ownership,annual_inc,verification_status,acc_now_delinq,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,tot_coll_amt,tot_cur_bal,total_acc,total_rev_hi_lim,dti,grade,sub_grade
In Grace Period,4,12000,2017-06-01, 36 months,13.59,407.75,7758.89,5723.38,2035.51,0.0,Home improvement,home_improvement,Waitress ,1 year,MORTGAGE,44000.0,Not Verified,0.0,1.0,2005-07-01,0.0,4.0,,8.0,0.0,10463,48.9,0.0,101340.0,8.0,21400.0,17.1,C,C2
Charged Off,0,35000,2017-08-01, 60 months,30.84,1150.5,12792.68,1891.1,6042.47,0.0,Home improvement,home_improvement,Pricing Manager,4 years,RENT,115000.0,Verified,0.0,1.0,2002-06-01,1.0,16.0,,5.0,0.0,656,4.2,0.0,1847.0,7.0,15600.0,1.17,G,G2
Current,5,5000,2018-12-01, 36 months,6.46,153.16,301.83,253.17,48.66,0.0,Debt consolidation,debt_consolidation,Chief Deputy Treasurer,2 years,MORTGAGE,40000.0,Source Verified,0.0,2.0,2003-11-01,1.0,3.0,,11.0,0.0,4632,15.8,0.0,120131.0,22.0,29300.0,17.28,A,A1
Charged Off,0,20000,2018-06-01, 36 months,10.56,650.62,1277.77,953.42,324.35,0.0,Debt consolidation,debt_consolidation,owner,10+ years,RENT,62500.0,Not Verified,0.0,0.0,2006-07-01,0.0,,,10.0,0.0,8405,30.3,0.0,8405.0,15.0,27700.0,6.09,B,B3
Current,5,13000,2017-05-01, 36 months,14.99,450.59,9505.7,6871.51,2634.19,0.0,Credit card refinancing,credit_card,Administrative Assistant ,2 years,OWN,42000.0,Verified,0.0,0.0,2006-06-01,0.0,,,14.0,0.0,18149,76.6,0.0,35735.0,22.0,23700.0,32.11,C,C4
Fully Paid,6,16000,2016-10-01, 36 months,8.99,508.73,16713.1914439225,16000.0,713.19,0.0,Debt consolidation,debt_consolidation,Manager,9 years,MORTGAGE,108310.0,Source Verified,0.0,0.0,2008-08-01,1.0,44.0,,12.0,0.0,14303,68.7,0.0,524946.0,41.0,24100.0,29.16,B,B1
Current,5,12000,2016-08-01, 60 months,14.49,282.28,8477.37,4931.4,3545.97,0.0,Business,small_business,Engineer Tech,< 1 year,MORTGAGE,84000.0,Not Verified,0.0,0.0,2003-01-01,3.0,,103.0,8.0,1.0,522,15.4,5623.0,343107.0,24.0,3400.0,7.24,C,C4
Charged Off,0,5000,2017-05-01, 36 months,15.99,175.77,3603.48,1159.28,593.98,0.0,Other,other,Front Office Coordinator,6 years,MORTGAGE,40000.0,Verified,0.0,0.0,1998-06-01,2.0,24.0,73.0,9.0,1.0,6428,49.1,0.0,282605.0,18.0,13100.0,23.1,C,C5
Current,5,6400,2017-03-01, 36 months,23.99,251.06,5757.32,3550.86,2206.46,0.0,Other,other,Correction Officer,4 years,RENT,66000.0,Verified,0.0,0.0,2008-08-01,0.0,47.0,,3.0,0.0,2618,58.2,541.0,13012.0,5.0,4500.0,5.71,E,E2
Fully Paid,6,14500,2017-06-01, 36 months,16.02,509.93,17227.6645523523,14500.0,2727.66,0.0,Credit card refinancing,credit_card,Utility Operator,10+ years,MORTGAGE,82000.0,Verified,0.0,0.0,2004-09-01,0.0,,,22.0,0.0,36261,50.1,0.0,386623.0,35.0,72400.0,33.02,C,C5
Current,5,6025,2018-07-01, 36 months,7.21,186.62,1303.93,1072.11,231.82,0.0,Debt consolidation,debt_consolidation,Assistant Engineering Manager,3 years,MORTGAGE,85000.0,Source Verified,0.0,0.0,2008-02-01,3.0,33.0,92.0,16.0,1.0,5919,17.8,0.0,328801.0,26.0,33200.0,12.09,A,A3
Current,5,12500,2017-05-01, 36 months,10.42,405.81,8514.77,6815.71,1699.06,0.0,Debt consolidation,debt_consolidation,Technician,4 years,OWN,40000.0,Source Verified,0.0,0.0,2010-10-01,1.0,,,7.0,0.0,5480,34.7,0.0,8333.0,9.0,15800.0,11.37,B,B3
Fully Paid,6,15000,2016-02-01, 36 months,11.47,494.43,17789.753652895,15000.0,2789.75,0.0,Credit card refinancing,credit_card,Logistics Manager,10+ years,MORTGAGE,72738.0,Verified,0.0,1.0,2002-10-01,3.0,22.0,74.0,24.0,1.0,34298,57.5,0.0,60937.0,38.0,59700.0,22.93,B,B5
Current,5,12000,2018-07-01, 36 months,8.46,378.59,2644.49,2101.97,542.52,0.0,Debt consolidation,debt_consolidation,Controller,3 years,RENT,52000.0,Verified,0.0,0.0,2012-09-01,1.0,,,7.0,0.0,7154,18.8,0.0,12068.0,14.0,38100.0,13.69,A,A5
Current,5,19000,2018-12-01, 60 months,10.33,406.79,791.77,488.56,303.21,0.0,Debt consolidation,debt_consolidation,Attorney,10+ years,MORTGAGE,130000.0,Not Verified,0.0,0.0,1999-09-01,0.0,,,15.0,0.0,13251,46.7,0.0,394654.0,41.0,28400.0,15.31,B,B1
Fully Paid,6,15000,2016-04-01, 60 months,10.75,324.27,18456.5918257029,15000.0,3456.59,0.0,Debt consolidation,debt_consolidation,Clinical Coordinator of Cardiopulmonary ,10+ years,MORTGAGE,105000.0,Not Verified,0.0,3.0,1997-12-01,0.0,4.0,,11.0,0.0,5073,46.5,3795.0,119953.0,28.0,10900.0,16.34,B,B4
Fully Paid,6,12000,2016-06-01, 60 months,10.75,259.42,13027.2218015678,12000.0,1027.22,0.0,Credit card refinancing,credit_card,Nutrition Worker ,10+ years,MORTGAGE,40000.0,Not Verified,0.0,0.0,2003-05-01,0.0,,,2.0,0.0,5709,36.8,0.0,210839.0,4.0,15500.0,3.93,B,B4
Current,5,4000,2018-08-01, 36 months,11.06,131.07,783.96,578.4,205.56,0.0,Credit card refinancing,credit_card,Mail carrier ,2 years,RENT,50000.0,Source Verified,0.0,0.0,2011-12-01,0.0,72.0,,3.0,0.0,218,8.1,0.0,19232.0,4.0,2700.0,15.21,B,B3
Current,5,16800,2018-12-01, 60 months,14.47,395.02,763.03,387.2,375.83,0.0,Home improvement,home_improvement,Mechanic,10+ years,OWN,67000.0,Source Verified,0.0,0.0,2005-05-01,3.0,69.0,,40.0,0.0,9742,14.0,0.0,9742.0,65.0,69800.0,8.4,C,C2
Current,5,10000,2017-12-01, 36 months,7.97,313.23,4376.36,3608.59,767.77,0.0,Credit card refinancing,credit_card,office  manager ,10+ years,MORTGAGE,65000.0,Source Verified,0.0,0.0,2005-12-01,0.0,,,6.0,0.0,6364,61.8,75.0,18902.0,9.0,10300.0,8.29,A,A5
Charged Off,0,3600,2018-01-01, 36 months,9.44,115.22,1150.31,900.42,249.89,0.0,Debt consolidation,debt_consolidation,Machinist,3 years,MORTGAGE,47840.0,Source Verified,0.0,0.0,1998-11-01,0.0,27.0,,4.0,0.0,2251,37.5,0.0,180140.0,14.0,6000.0,13.57,B,B1
Fully Paid,6,4000,2017-11-01, 36 months,19.03,146.69,4448.9499739338,4000.0,448.95,0.0,Debt consolidation,debt_consolidation,Installer,10+ years,MORTGAGE,37500.0,Not Verified,0.0,0.0,2005-07-01,0.0,,108.0,6.0,1.0,2037,58.2,0.0,79868.0,15.0,3500.0,24.77,D,D3
Current,5,28000,2018-08-01, 36 months,11.06,917.48,5461.87,4048.77,1413.1,0.0,Debt consolidation,debt_consolidation,I&C Tech,6 years,RENT,120000.0,Not Verified,0.0,0.0,1989-10-01,1.0,,,9.0,0.0,10848,34.3,0.0,34217.0,26.0,31600.0,7.65,B,B3
Current,5,25000,2018-10-01, 60 months,15.02,595.02,2432.24,1149.78,1282.46,0.0,Debt consolidation,debt_consolidation,SVP of Promotion,< 1 year,RENT,300000.0,Verified,0.0,0.0,1996-11-01,0.0,,,7.0,0.0,44387,84.5,0.0,613935.0,24.0,52500.0,11.36,C,C3
Current,5,21000,2018-10-01, 60 months,18.94,544.06,2154.14,870.79,1283.35,0.0,Debt consolidation,debt_consolidation,,< 1 year,RENT,96000.0,Source Verified,0.0,0.0,2005-02-01,0.0,,,9.0,0.0,15696,82.2,0.0,46743.0,13.0,19100.0,14.83,D,D2
Current,5,15000,2017-09-01, 36 months,7.07,463.64,7875.99,6689.24,1186.75,0.0,Medical expenses,medical,Construction Foreman,4 years,MORTGAGE,65000.0,Not Verified,0.0,0.0,2005-04-01,0.0,,,8.0,0.0,7609,26.5,0.0,289185.0,21.0,28700.0,3.79,A,A2
Current,5,16000,2018-03-01, 60 months,11.98,355.75,3902.6,2267.1,1635.5,0.0,Debt consolidation,debt_consolidation,Technical Project Manager,5 years,RENT,120000.0,Not Verified,0.0,0.0,2005-06-01,0.0,,,17.0,0.0,31601,65.3,0.0,279989.0,47.0,48400.0,23.32,B,B5
Current,5,38850,2018-09-01, 36 months,7.21,1203.31,4782.12,3914.65,867.47,0.0,Credit card refinancing,credit_card,President,8 years,MORTGAGE,400000.0,Source Verified,0.0,0.0,1984-10-01,2.0,,,15.0,0.0,160432,42.8,0.0,745759.0,36.0,258000.0,23.67,A,A3
Current,5,2800,2016-08-01, 36 months,10.49,91.0,2728.37,2270.58,457.79,0.0,Medical expenses,medical,Coordinator ,10+ years,RENT,79000.0,Not Verified,0.0,0.0,1993-04-01,3.0,31.0,50.0,18.0,1.0,15791,19.2,0.0,36534.0,33.0,82400.0,19.38,B,B3
Current,5,17025,2018-09-01, 36 months,6.11,518.79,2582.39,2182.64,399.75,0.0,Credit card refinancing,credit_card,Reporter,2 years,RENT,51000.0,Source Verified,0.0,0.0,2011-08-01,0.0,,,22.0,0.0,20275,57.3,0.0,48060.0,23.0,35400.0,15.08,A,A1
Current,5,6000,2016-03-01, 36 months,15.31,208.91,7301.64,5793.99,1507.65,0.0,Other,other,news reporter,10+ years,RENT,100000.0,Source Verified,0.0,1.0,1989-03-01,0.0,8.0,,9.0,0.0,2227,39.8,4179.0,44135.0,32.0,5600.0,18.32,C,C5
Current,5,3000,2016-04-01, 36 months,17.27,107.37,3650.57,2783.43,867.14,0.0,Debt consolidation,debt_consolidation,PART SALES,10+ years,RENT,37000.0,Verified,0.0,0.0,2008-02-01,0.0,31.0,,7.0,0.0,3677,46.5,482.0,25204.0,8.0,7900.0,21.76,D,D2
Current,5,20000,2016-11-01, 36 months,12.74,671.38,18091.87,14266.35,3825.52,0.0,Credit card refinancing,credit_card,Marketing Director,8 years,MORTGAGE,75000.0,Source Verified,0.0,0.0,1999-07-01,0.0,67.0,,24.0,0.0,25859,49.1,760.0,159092.0,37.0,52700.0,34.08,C,C1
Current,5,6000,2017-06-01, 36 months,5.32,180.69,3612.03,3215.11,396.92,0.0,Credit card refinancing,credit_card,Owner/Operator,10+ years,RENT,72000.0,Not Verified,0.0,0.0,1988-06-01,0.0,,,16.0,0.0,23749,27.0,0.0,25383.0,22.0,88000.0,13.2,A,A1
Current,5,21100,2016-07-01, 60 months,22.39,587.45,18296.71,8028.38,10268.33,0.0,Debt consolidation,debt_consolidation,Owner,4 years,RENT,48000.0,Not Verified,0.0,1.0,2010-09-01,1.0,13.0,,11.0,0.0,27364,64.5,341.0,60758.0,14.0,42400.0,34.7,E,E1
Current,5,35000,2017-07-01, 36 months,7.35,1086.31,20625.6,17512.5,3113.1,0.0,Debt consolidation,debt_consolidation,Vice President,3 years,RENT,178000.0,Not Verified,0.0,0.0,2005-10-01,1.0,,,8.0,0.0,34947,78.9,0.0,81194.0,17.0,44300.0,22.39,A,A4
Current,5,40000,2018-02-01, 36 months,6.72,1229.97,14729.77,12448.89,2280.88,0.0,Debt consolidation,debt_consolidation,Partner,10+ years,MORTGAGE,1050000.0,Verified,0.0,0.0,2002-09-01,0.0,,31.0,8.0,3.0,385028,97.8,0.0,1535952.0,22.0,388000.0,7.54,A,A3
Charged Off,0,25000,2017-08-01, 60 months,14.08,582.75,6953.89,3704.47,3249.42,0.0,Debt consolidation,debt_consolidation,General Manager,7 years,MORTGAGE,60000.0,Not Verified,0.0,0.0,2007-10-01,0.0,,,14.0,0.0,18255,40.2,0.0,186599.0,23.0,45400.0,18.26,C,C3
Current,5,23000,2018-07-01, 36 months,13.56,781.18,5450.93,3775.02,1675.91,0.0,Debt consolidation,debt_consolidation,Teacher,5 years,RENT,72746.0,Not Verified,0.0,0.0,2005-08-01,0.0,57.0,,15.0,0.0,11486,43.3,0.0,163198.0,55.0,26500.0,16.5,C,C1
Current,5,35000,2017-05-01, 36 months,12.62,1172.9,24581.82,18802.78,5779.04,0.0,Debt consolidation,debt_consolidation,"Director, Finance",10+ years,MORTGAGE,162000.0,Not Verified,0.0,0.0,1993-03-01,2.0,,,13.0,0.0,117279,35.1,0.0,725694.0,21.0,209900.0,25.33,C,C1
Current,5,35000,2018-02-01, 60 months,10.42,750.91,9031.19,5627.66,3403.53,0.0,Credit card refinancing,credit_card,Team Leader,2 years,MORTGAGE,120000.0,Source Verified,0.0,0.0,1998-07-01,0.0,,,18.0,0.0,38088,62.0,0.0,352121.0,39.0,61400.0,12.5,B,B3
Current,5,10000,2016-12-01, 36 months,8.24,314.48,8165.04,6969.56,1195.48,0.0,Credit card refinancing,credit_card,Diesel Mechanic,2 years,MORTGAGE,57000.0,Source Verified,0.0,0.0,2001-07-01,0.0,28.0,,5.0,0.0,5869,93.2,0.0,205255.0,26.0,6300.0,6.76,B,B1
Current,5,30000,2016-03-01, 36 months,6.97,925.91,33284.083666378,30000.0,3284.08,0.0,Debt consolidation,debt_consolidation,Program Manager,10+ years,MORTGAGE,120000.0,Source Verified,0.0,0.0,1994-07-01,1.0,,,10.0,0.0,21819,22.1,0.0,310462.0,23.0,98700.0,4.94,A,A3
Current,5,8000,2018-07-01, 36 months,15.49,279.25,1944.42,1280.63,663.79,0.0,Debt consolidation,debt_consolidation,Key Account Manager,2 years,RENT,65000.0,Source Verified,0.0,4.0,2008-10-01,0.0,21.0,,7.0,0.0,621,23.9,0.0,109201.0,20.0,2600.0,12.89,C,C4
Fully Paid,6,18000,2016-08-01, 36 months,11.49,593.49,21027.6496115629,18000.0,3027.65,0.0,Debt consolidation,debt_consolidation,CFO,3 years,MORTGAGE,210000.0,Verified,0.0,0.0,1994-02-01,1.0,,70.0,21.0,1.0,22211,26.9,0.0,431106.0,44.0,82500.0,19.3,B,B5
Charged Off,0,7000,2016-09-01, 36 months,12.79,235.16,4344.47,2784.75,972.84,0.0,Home buying,house,dept manager,1 year,OWN,30000.0,Source Verified,0.0,0.0,1999-10-01,2.0,47.0,,7.0,0.0,4527,54.5,1101.0,17518.0,24.0,8300.0,21.28,C,C1
Fully Paid,6,25000,2016-04-01, 36 months,12.99,842.23,25189.44,25000.0,189.44,0.0,Major purchase,major_purchase,project manager,8 years,MORTGAGE,80000.0,Not Verified,0.0,0.0,2009-05-01,0.0,,,3.0,0.0,822,17.5,0.0,50692.0,5.0,4700.0,0.38,C,C2
Current,5,15000,2018-12-01, 60 months,18.94,388.62,761.46,306.14,455.32,0.0,Debt consolidation,debt_consolidation,Appliance Service Manager,10+ years,MORTGAGE,104000.0,Source Verified,0.0,0.0,1988-12-01,0.0,45.0,,8.0,0.0,18985,85.1,0.0,96574.0,33.0,22300.0,15.72,D,D2
Current,5,18000,2017-06-01, 60 months,15.05,428.7,8581.53,4581.03,4000.5,0.0,Debt consolidation,debt_consolidation,Human Resources,10+ years,MORTGAGE,56000.0,Not Verified,0.0,0.0,2003-07-01,0.0,47.0,,8.0,0.0,14259,77.1,0.0,252107.0,26.0,18500.0,23.35,C,C4
Current,5,20000,2016-03-01, 36 months,7.39,621.12,21730.99,19382.9,2348.09,0.0,Debt consolidation,debt_consolidation,PRESIDENT,10+ years,MORTGAGE,120000.0,Not Verified,0.0,0.0,1971-06-01,1.0,,,16.0,0.0,33159,66.9,0.0,503630.0,38.0,49600.0,27.3,A,A4
Fully Paid,6,1000,2018-08-01, 36 months,27.27,40.98,1045.3726796455999,1000.0,45.37,0.0,Home buying,house,medical assistant,4 years,RENT,42000.0,Source Verified,0.0,0.0,2010-09-01,0.0,,,5.0,0.0,654,28.4,0.0,8797.0,5.0,2300.0,2.43,E,E5
Fully Paid,6,2800,2017-08-01, 36 months,20.0,104.06,3454.2391510541997,2800.0,654.24,0.0,Debt consolidation,debt_consolidation,Staff sergeant,6 years,RENT,84000.0,Verified,0.0,0.0,2009-09-01,0.0,,,8.0,0.0,8037,44.2,0.0,39774.0,17.0,18200.0,14.05,D,D4
Current,5,6600,2016-04-01, 36 months,17.27,236.2,8030.3,6137.81,1892.49,0.0,Credit card refinancing,credit_card,Sound System Installations,10+ years,MORTGAGE,35000.0,Not Verified,0.0,0.0,2004-08-01,0.0,27.0,,7.0,0.0,11392,72.6,0.0,150995.0,8.0,15700.0,20.37,D,D2
Current,5,13000,2018-09-01, 60 months,7.21,258.71,1508.0,1100.02,407.98,0.0,Credit card refinancing,credit_card,Behavior consultant,6 years,MORTGAGE,55000.0,Source Verified,0.0,0.0,2009-09-01,0.0,,,8.0,0.0,13519,42.8,0.0,368712.0,19.0,31600.0,14.42,A,A3
Current,5,32000,2017-12-01, 60 months,15.05,762.12,10602.79,5484.16,5118.63,0.0,Debt consolidation,debt_consolidation,registered nurse,4 years,MORTGAGE,104000.0,Verified,0.0,0.0,1999-04-01,0.0,,,16.0,0.0,38972,61.3,0.0,326278.0,29.0,63600.0,29.75,C,C4
Fully Paid,6,3000,2017-10-01, 36 months,15.05,104.07,3224.5974564986,3000.0,224.6,0.0,Car financing,car,Srew machines ,< 1 year,MORTGAGE,44000.0,Source Verified,0.0,0.0,2003-07-01,0.0,59.0,,12.0,0.0,5622,45.0,0.0,38964.0,21.0,12500.0,11.35,C,C4
Current,5,5000,2017-05-01, 36 months,10.91,163.49,3430.26,2717.54,712.72,0.0,Credit card refinancing,credit_card,Quality Manager,7 years,RENT,80000.0,Source Verified,0.0,3.0,1998-10-01,1.0,8.0,,8.0,0.0,5140,38.6,0.0,12428.0,18.0,13300.0,10.18,B,B4
Fully Paid,6,3600,2016-12-01, 36 months,5.32,108.42,3797.3469813627003,3600.0,197.35,0.0,Debt consolidation,debt_consolidation,Package Operations Manager,4 years,MORTGAGE,41192.29,Not Verified,0.0,1.0,2003-02-01,0.0,15.0,,7.0,0.0,1232,5.5,0.0,12629.0,13.0,22300.0,11.22,A,A1
Fully Paid,6,40000,2018-10-01, 36 months,11.55,1320.0,41178.3530185145,40000.0,1178.35,0.0,Debt consolidation,debt_consolidation,OPERATIONS MANAGEMENT,5 years,MORTGAGE,99736.0,Source Verified,0.0,0.0,2006-05-01,1.0,,,19.0,0.0,557,0.9,369.0,112716.0,42.0,62600.0,13.22,B,B4
Fully Paid,6,2000,2016-12-01, 36 months,7.99,62.67,2166.2539295122,2000.0,166.25,0.0,Moving and relocation,moving,Sales ,10+ years,RENT,60000.0,Source Verified,0.0,0.0,2000-04-01,0.0,,,14.0,0.0,14254,29.1,0.0,34359.0,33.0,49000.0,26.52,A,A5
Fully Paid,6,5000,2017-02-01, 36 months,6.99,154.37,5112.4024652982,5000.0,112.4,0.0,Home improvement,home_improvement,Merchandising Manager,9 years,MORTGAGE,70000.0,Not Verified,0.0,0.0,2003-09-01,0.0,,,5.0,0.0,796,3.6,0.0,127296.0,14.0,22000.0,14.68,A,A2
Current,5,8000,2018-06-01, 36 months,14.52,275.45,2190.69,1491.21,699.48,0.0,Other,other,Manager,10+ years,MORTGAGE,95000.0,Source Verified,0.0,0.0,1994-10-01,0.0,39.0,,13.0,0.0,11914,39.2,0.0,277785.0,23.0,30400.0,23.65,C,C3
Current,5,19200,2018-11-01, 60 months,12.98,436.67,1282.32,694.43,587.89,0.0,Credit card refinancing,credit_card,Meetings & Events Manager,4 years,RENT,65300.0,Not Verified,0.0,0.0,2005-10-01,1.0,,,6.0,0.0,2072,18.0,0.0,39082.0,18.0,11500.0,25.49,B,B5
Fully Paid,6,8000,2016-04-01, 36 months,8.39,252.14,8052.21,8000.0,52.21,0.0,Debt consolidation,debt_consolidation,Director,10+ years,RENT,146000.0,Source Verified,0.0,0.0,1992-04-01,0.0,,,4.0,0.0,21149,96.1,0.0,292598.0,12.0,22000.0,8.17,B,B1
Fully Paid,6,12075,2016-02-01, 36 months,8.39,380.57,13014.9486358133,12075.0,939.95,0.0,Credit card refinancing,credit_card,School Counselor,10+ years,RENT,92984.0,Verified,0.0,0.0,2002-12-01,0.0,,,17.0,0.0,38060,71.4,0.0,111538.0,29.0,53300.0,29.94,B,B1
Current,5,25000,2016-03-01, 36 months,5.32,752.87,26343.06,24250.47,2092.59,0.0,Debt consolidation,debt_consolidation,Computer programmer,10+ years,MORTGAGE,113000.0,Source Verified,0.0,1.0,1994-06-01,0.0,16.0,,10.0,0.0,54943,51.7,0.0,189613.0,17.0,107800.0,11.97,A,A1
Current,5,30000,2018-05-01, 36 months,5.31,903.31,8120.94,7059.07,1061.87,0.0,Credit card refinancing,credit_card,Senior Tech,7 years,RENT,92000.0,Not Verified,0.0,0.0,1998-06-01,0.0,,,10.0,0.0,41786,58.6,0.0,67739.0,11.0,71300.0,24.64,A,A1
Current,5,20000,2018-04-01, 36 months,10.9,653.83,6526.19,4919.38,1606.81,0.0,Debt consolidation,debt_consolidation,Resident Physician,3 years,MORTGAGE,60000.0,Not Verified,0.0,0.0,2006-10-01,0.0,,,13.0,0.0,27740,24.5,0.0,380259.0,26.0,113200.0,18.96,B,B4
Fully Paid,6,18000,2016-08-01, 36 months,13.99,615.11,20150.476774923998,18000.0,2150.48,0.0,Credit card refinancing,credit_card,quality assurance tech,10+ years,RENT,90000.0,Not Verified,0.0,0.0,1999-03-01,1.0,29.0,,7.0,0.0,11088,49.5,0.0,11088.0,21.0,22400.0,9.18,C,C3
Current,5,18000,2016-11-01, 36 months,7.49,559.83,15622.81,13644.61,1978.2,0.0,Debt consolidation,debt_consolidation,Service Advisor,8 years,MORTGAGE,68000.0,Not Verified,0.0,0.0,2003-12-01,2.0,56.0,,10.0,0.0,2349,8.0,0.0,263670.0,32.0,29500.0,23.88,A,A4
Current,5,30000,2017-12-01, 60 months,14.08,699.3,9743.27,5251.0,4492.27,0.0,Home improvement,home_improvement,Nurse Manager ,9 years,MORTGAGE,95000.0,Verified,0.0,0.0,2001-12-01,0.0,71.0,,11.0,0.0,6570,24.2,468.0,28958.0,20.0,27200.0,10.88,C,C3
Current,5,29575,2016-03-01, 60 months,11.99,657.74,23001.2,15088.63,7912.57,0.0,Credit card refinancing,credit_card,Senior Graphic Designer,10+ years,MORTGAGE,45800.0,Verified,0.0,0.0,2002-04-01,0.0,,,17.0,0.0,24615,29.7,0.0,158035.0,43.0,82900.0,34.62,C,C1
Late (31-120 days),2,7000,2018-08-01, 36 months,15.02,242.73,722.35,471.19,251.16,0.0,Medical expenses,medical,Owner,10+ years,OWN,104000.0,Source Verified,0.0,0.0,1971-08-01,1.0,61.0,,20.0,0.0,38492,61.3,1263.0,366953.0,33.0,60900.0,18.94,C,C3
Current,5,6000,2018-08-01, 36 months,15.02,208.06,1267.83,823.15,444.68,0.0,Debt consolidation,debt_consolidation,,,MORTGAGE,24000.0,Verified,0.0,0.0,2005-08-01,0.0,,83.0,8.0,1.0,5282,80.0,0.0,175223.0,19.0,6600.0,25.55,C,C3
Current,5,10000,2017-11-01, 36 months,7.35,310.38,4647.53,3901.5,746.03,0.0,Credit card refinancing,credit_card,Director of Marketing,< 1 year,RENT,40000.0,Not Verified,0.0,0.0,2009-09-01,0.0,,,21.0,0.0,16381,42.0,0.0,44710.0,25.0,39250.0,34.56,A,A4
Charged Off,0,9600,2017-04-01, 36 months,11.44,316.3,936.7,680.79,255.91,0.0,Home improvement,home_improvement,Driver,10+ years,OWN,67000.0,Verified,0.0,0.0,1996-10-01,1.0,37.0,,15.0,0.0,15994,57.7,0.0,213256.0,32.0,27700.0,28.79,B,B4
Current,5,15000,2017-06-01, 36 months,19.03,550.07,10993.47,7280.43,3713.04,0.0,Debt consolidation,debt_consolidation,Counter Manager ,5 years,RENT,48000.0,Not Verified,0.0,0.0,2005-11-01,0.0,53.0,,12.0,0.0,15510,82.5,0.0,41999.0,21.0,18800.0,22.25,D,D3
Current,5,10000,2017-01-01, 36 months,10.49,324.98,8118.67,6605.93,1512.74,0.0,Debt consolidation,debt_consolidation,owne,10+ years,MORTGAGE,40000.0,Not Verified,0.0,0.0,1991-08-01,0.0,,76.0,13.0,1.0,9284,35.3,0.0,58657.0,39.0,26300.0,8.19,B,B2
Current,5,10000,2017-05-01, 36 months,7.97,313.23,6573.4,5542.25,1031.15,0.0,Debt consolidation,debt_consolidation,registered nurse,1 year,MORTGAGE,100000.0,Source Verified,0.0,0.0,2005-10-01,0.0,,,10.0,0.0,6693,31.4,0.0,398120.0,20.0,21300.0,17.67,A,A5
Fully Paid,6,10000,2017-08-01, 36 months,13.59,339.79,11449.4739909128,10000.0,1449.47,0.0,Debt consolidation,debt_consolidation,Contact Representative,10+ years,RENT,59000.0,Not Verified,0.0,0.0,2002-11-01,0.0,,,5.0,0.0,6082,52.0,0.0,37801.0,12.0,11700.0,14.38,C,C2
Current,5,10000,2017-03-01, 60 months,12.74,226.21,5201.75,3108.73,2093.02,0.0,Debt consolidation,debt_consolidation,mechanical technician,10+ years,MORTGAGE,70000.0,Not Verified,0.0,0.0,1992-12-01,0.0,,,21.0,0.0,15583,23.1,0.0,250110.0,31.0,67400.0,24.29,C,C1
Current,5,15000,2018-06-01, 60 months,11.05,326.52,2552.31,1556.65,995.66,0.0,Debt consolidation,debt_consolidation,,,MORTGAGE,30800.0,Not Verified,0.0,0.0,1985-08-01,0.0,,,9.0,0.0,14392,47.0,0.0,73911.0,13.0,30600.0,24.82,B,B4
Current,5,2800,2017-01-01, 36 months,15.99,98.43,2458.26,1799.22,659.04,0.0,Other,other,Director ,10+ years,RENT,34000.0,Source Verified,0.0,0.0,2003-03-01,0.0,48.0,,7.0,0.0,7901,64.2,0.0,21270.0,20.0,12300.0,31.24,C,C5
Current,5,10900,2017-11-01, 60 months,17.09,271.43,4102.5,1927.9,2174.6,0.0,Credit card refinancing,credit_card,Teacher/Coach,< 1 year,RENT,41000.0,Verified,0.0,0.0,2009-08-01,0.0,,,19.0,0.0,17701,46.0,0.0,89049.0,21.0,38500.0,40.34,D,D1
Current,5,25000,2016-11-01, 36 months,8.24,786.19,21215.69,18161.61,3054.08,0.0,Debt consolidation,debt_consolidation,Rooms Manager,2 years,RENT,90000.0,Not Verified,0.0,0.0,2004-07-01,1.0,59.0,,6.0,0.0,11106,24.0,0.0,23385.0,13.0,46200.0,12.24,B,B1
Charged Off,0,6000,2016-04-01, 36 months,11.99,199.26,2183.87,1611.31,572.56,0.0,Debt consolidation,debt_consolidation,Patient Care Co-ordinator,4 years,MORTGAGE,28000.0,Verified,0.0,0.0,1987-05-01,1.0,35.0,114.0,11.0,1.0,10945,72.0,0.0,14983.0,21.0,15200.0,39.65,C,C1
Current,5,12000,2018-03-01, 60 months,9.92,254.5,2792.89,1780.69,1012.2,0.0,Credit card refinancing,credit_card,Criminal Investigator,10+ years,MORTGAGE,58718.0,Source Verified,0.0,0.0,2005-12-01,1.0,,,8.0,0.0,12528,37.2,0.0,210464.0,16.0,33700.0,25.49,B,B2
Current,5,10000,2018-01-01, 36 months,6.72,307.5,3993.77,3381.64,612.13,0.0,Debt consolidation,debt_consolidation,Regional Sales Manager,10+ years,MORTGAGE,90000.0,Not Verified,0.0,0.0,1998-05-01,0.0,,,12.0,0.0,8915,28.0,0.0,563862.0,25.0,31800.0,18.08,A,A3
